Timings,8.00 - 8.50 AM,9.00 - 9.50 AM,10.00 - 10.50 AM,11.00 - 11.50 AM,12.00 - 12.50 PM,Lunch Break,2.00 - 2.50 PM,3.00 - 3.50 PM,4.00 - 4.50 PM,5.00 - 5.50 PM,6.00 - 6.50 PM
Monday,T- PCPE,PC-1,PC -2,PC -3,PC - 4,,HSME,PCPE,HSPE,PHSME,T-PC-1
Tuesday,T -HSPE,PC-1,PC -2,PC -3,PC - 4,,PCDE,PEOE,HSPE,PHSME,T-PEOE
Wednesday,T -PCDE,PC-1,PC -2,PC -3,PC - 4,,PCE-1,PCE-2,PCE-3,PHSME,T -HSME/ PC-3
Thursday,T -PC - 4,PCPE,HSME,PCDE,PEOE,,PCE-1,PCE-2,PCE-3,S,T-PCE-3
Friday,T -PCE-2,PCPE,HSME,PCDE,PEOE,,PCE-1,PCE-2,PCE-3,HSPE,T -PCE-1
Saturday,,,,,,,,,,,
Sunday,,,,,,,,,,,
